日付,時刻,場所,場所コード
2015/04/16,14:49:14,1号館  4F 廊下1/廊下3 入室リーダ,801049900
2015/04/16,15:47:07,1号館  1F オープンなゲート2 退室リーダB,801019900
2015/04/16,15:57:49,1号館  1F オープンなゲート1 入室リーダA,801019900
2015/04/16,15:58:31,1号館  4F 廊下1/廊下3 入室リーダ,801049900
2015/04/16,17:57:26,1号館 11F ユビキタスネットワーキング研究室 入室リーダ,8011107B0
2015/04/16,17:59:37,1号館 11F ユビキタスネットワーキング研究室 入室リーダ,8011107B0
2015/04/16,18:01:15,1号館  2F オープンなゲート1 退室リーダB,801029900
2015/04/16,18:02:14,2号館  2F オープンなゲート6 入室リーダA,802029900
2015/04/16,18:04:11,2号館 10F 21005情報コンセント教室 出管CR リーダ2,802100500
2015/04/16,19:52:54,2号館  3F オープンなゲート1 退室リーダB,802039900
2015/04/16,19:54:45,1号館  2F オープンなゲート1 入室リーダA,801029900
2015/04/16,21:12:04,1号館  1F 風除室3/廊下3 退室リーダ,801019900
2015/04/16,21:34:09,1号館  1F オープンなゲート1 入室リーダA,801019900
